OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE,BLOCKID10,HOUSING10,POP10,Shape_Length,Shape_Area,Longitude,Latitude
6710,17,19,10604,2092,1.7019E+14,0,0,0.002306696,3.26297E-07,-88.42685933,40.10759773
6711,17,19,10604,2080,1.7019E+14,5,19,0.005480353,1.71591E-06,-88.42741225,40.10539057
6712,17,19,10604,2123,1.7019E+14,4,9,0.003747155,8.71421E-07,-88.42539287,40.10637829
6713,17,19,10900,6009,1.7019E+14,4,15,0.067727231,0.000282752,-88.4355067,40.04759872
6714,17,19,10900,6008,1.7019E+14,0,0,0.03999403,7.73866E-05,-88.42292383,40.04951009
6715,17,19,10900,6006,1.7019E+14,2,4,0.064924443,0.000232487,-88.39904254,40.0481726
6716,17,19,10604,2025,1.7019E+14,0,0,0.012741537,2.87778E-06,-88.40863826,40.12110031
6717,17,19,10604,2031,1.7019E+14,4,9,0.051366072,0.000119714,-88.39856275,40.11650627
6718,17,19,10604,2101,1.7019E+14,2,4,0.066744924,0.000273656,-88.37886536,40.09144316
6719,17,19,10604,2102,1.7019E+14,7,13,0.066920107,0.000275363,-88.35994753,40.09148603
6720,17,19,10604,2133,1.7019E+14,21,41,0.014261785,9.02899E-06,-88.37230382,40.11175128
6721,17,19,1205,2036,1.7019E+14,0,0,0.006950495,2.78566E-07,-88.33300209,40.08243638
6722,17,19,10900,6004,1.7019E+14,4,7,0.06666574,0.000279415,-88.37833838,40.04767224
6723,17,19,902,1084,1.7019E+14,0,0,0.006337988,6.93479E-07,-88.34937069,40.12049741
6724,17,19,5701,4008,1.7019E+14,9,20,0.004562826,1.27031E-06,-88.20119465,40.09015494
6725,17,19,5600,3010,1.7019E+14,20,35,0.006262973,1.90611E-06,-88.19671722,40.09877918
6726,17,19,5600,2009,1.7019E+14,15,36,0.005163293,1.41422E-06,-88.19166191,40.10126779
6727,17,19,5500,4011,1.7019E+14,8,12,0.004152115,8.18705E-07,-88.19658324,40.11013107
6728,17,19,5701,1000,1.7019E+14,225,420,0.015859305,1.453E-05,-88.19272699,40.09648099
6729,17,19,5500,2016,1.7019E+14,20,47,0.009323033,3.19007E-06,-88.17568198,40.11760574
6730,17,19,5500,2017,1.7019E+14,4,6,0.031419096,1.44423E-05,-88.16708679,40.11936252
6731,17,19,5600,2011,1.7019E+14,0,0,0.000747769,3.23765E-08,-88.18986409,40.10173707
6732,17,19,5600,2013,1.7019E+14,19,34,0.006475679,1.98879E-06,-88.18871926,40.10055878
6733,17,19,10603,2056,1.7019E+14,16,60,0.035471296,7.03507E-05,-88.40281885,40.17139169
6734,17,19,10603,2059,1.7019E+14,0,0,0.027716296,3.45752E-05,-88.40604955,40.1621121
6735,17,19,1204,1069,1.7019E+14,3,6,0.004895874,9.98506E-07,-88.29425756,40.08120863
6736,17,19,1302,2017,1.7019E+14,1,4,0.001657855,1.6474E-07,-88.26611713,40.08096071
6737,17,19,10700,1021,1.7019E+14,2,4,0.044826266,9.02482E-05,-87.98659292,40.18831229
6738,17,19,10700,1027,1.7019E+14,15,36,0.016608323,4.39608E-06,-87.97548371,40.19230857
6739,17,19,10500,4138,1.7019E+14,6,12,0.005597963,2.00917E-06,-88.34906028,40.32212073
6740,17,19,5300,4000,1.7019E+14,286,369,0.01784911,1.96696E-05,-88.22185567,40.12531019
6741,17,19,200,2036,1.7019E+14,0,0,0.003847726,3.7386E-07,-88.23158602,40.11896445
6742,17,19,5500,2039,1.7019E+14,1,2,0.000890107,3.0061E-08,-88.17574784,40.1155089
6743,17,19,1400,2025,1.7019E+14,1,2,0.007713971,2.77342E-06,-88.24764578,40.05705898
6744,17,19,5500,3019,1.7019E+14,29,66,0.008451744,2.37512E-06,-88.17492832,40.11150678
6745,17,19,5600,5008,1.7019E+14,25,84,0.00579927,2.00194E-06,-88.17326416,40.10276085
6746,17,19,5500,2063,1.7019E+14,0,0,0.004025361,1.85362E-07,-88.16367125,40.10590159
6747,17,19,902,1034,1.7019E+14,10,26,0.004680319,1.29122E-06,-88.29723931,40.13241185
6748,17,19,10700,2030,1.7019E+14,20,49,0.015816487,9.53656E-06,-87.95109885,40.11345469
6749,17,19,10500,4022,1.7019E+14,0,0,0.015080716,6.06448E-06,-88.45325189,40.3982762
6750,17,19,10500,4068,1.7019E+14,3,7,0.029057128,2.48081E-05,-88.34437735,40.38763021
6751,17,19,10500,1021,1.7019E+14,0,0,0.045588812,6.63826E-05,-88.24052486,40.38254857
6752,17,19,10400,1057,1.7019E+14,19,58,0.008139855,3.14891E-06,-88.12773031,40.38296201
6753,17,19,10400,1023,1.7019E+14,4,10,0.068055975,0.000284676,-88.16543933,40.3778877
6754,17,19,10400,1012,1.7019E+14,0,0,0.012722005,6.06601E-06,-88.23284125,40.38192706
6755,17,19,10400,1071,1.7019E+14,0,0,0.017299014,4.8674E-06,-88.13072503,40.37800581
6756,17,19,10400,1075,1.7019E+14,4,9,0.036882942,4.7483E-05,-88.13877368,40.37519848
6757,17,19,10900,6042,1.7019E+14,8,14,0.066360537,0.00027056,-88.32298732,40.03281266
6758,17,19,10900,5076,1.7019E+14,0,0,0.029415707,4.51772E-06,-88.30354606,40.0325207
6759,17,19,902,1061,1.7019E+14,0,0,0.001316622,1.0564E-07,-88.30505551,40.12001524
6760,17,19,1000,5002,1.7019E+14,0,0,0.014314024,1.11717E-05,-88.27920027,40.11960537
6761,17,19,902,1032,1.7019E+14,12,32,0.006035594,2.18491E-06,-88.29935796,40.12903081
6762,17,19,1201,2021,1.7019E+14,5,21,0.003917121,5.32694E-07,-88.29780917,40.10594817
6763,17,19,1201,2015,1.7019E+14,15,47,0.009398721,2.91435E-06,-88.29632066,40.1080392
6764,17,19,902,2059,1.7019E+14,0,0,0.036342004,2.90389E-05,-88.29218113,40.11689571
6765,17,19,1201,5003,1.7019E+14,334,506,0.024510274,1.41271E-05,-88.29013718,40.11126752
